message,concepts
"(1, 1, 1, 0)","[(2, 0, '?')]"
"(1, 1, 2, 0)","[(2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2), (2, 0, 2)]"
"(1, 1, 4, 0)","[(2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3)]"
"(1, 1, 11, 0)","[(2, 0, 3)]"
"(1, 1, 13, 0)","[(2, 0, 2)]"
"(1, 1, 14, 0)","[(2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?'), (2, 0, '?')]"
"(1, 2, 13, 0)","[(1, 0, 2), (1, 0, 2)]"
"(1, 13, 2, 0)","[(1, 0, 2), (1, 0, 2)]"
"(1, 13, 13, 0)","[(1, 0, 2)]"
"(1, 14, 14, 0)","[(1, 0, '?'), (1, 0, '?'), (1, 0, '?'), (1, 0, '?'), (1, 0, 3), (1, 0, 3), (1, 0, '?'), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, '?'), (1, 0, '?'), (1, 0, '?'), (1, 0, '?')]"
"(1, 15, 1, 0)","[(2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1)]"
"(1, 15, 14, 0)","[(1, 0, 1), (1, 0, 1), (1, 0, 1), (1, 0, 1), (1, 0, 1), (1, 0, 1), (1, 0, 1)]"
"(2, 2, 1, 0)","[(1, '?', 2)]"
"(2, 2, 2, 0)","[(1, '?', 2), (1, '?', 2), (1, 1, 2)]"
"(2, 2, 10, 0)","[(1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2)]"
"(2, 2, 13, 0)","[(1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2), (1, 1, 2)]"
"(2, 4, 4, 0)","[(2, '?', 3), (2, '?', 3), (2, '?', 3), (2, '?', 3), (2, '?', 3), (2, '?', 3), (2, '?', 3)]"
"(2, 10, 4, 0)","[(1, '?', 3), (1, '?', 3), (1, '?', 3), (1, '?', 3), (1, '?', 3), (1, '?', 3), (1, '?', 3), (1, '?', 3)]"
