concepts,message
"((0, 0, 0), (1, 1, 1))","[(14, 12, 5, 0)]"
"((0, 0, 1), (1, 1, 1))","[(14, 5, 12, 0)]"
"((0, 0, 2), (1, 1, 1))","[(14, 5, 13, 0)]"
"((0, 0, '?'), (1, 1, 0))","[(14, 5, 5, 0), (14, 5, 3, 0), (14, 14, 5, 0)]"
"((0, 1, 1), (1, 1, 1))","[(3, 5, 12, 0)]"
"((0, 1, 2), (1, 1, 1))","[(13, 3, 5, 0), (3, 13, 5, 0), (13, 5, 13, 0), (13, 13, 5, 0)]"
"((0, 1, 3), (1, 1, 1))","[(3, 13, 4, 0)]"
"((0, 1, '?'), (1, 1, 0))","[(3, 5, 5, 0), (3, 5, 3, 0)]"
"((0, 2, 0), (1, 1, 1))","[(5, 5, 15, 0)]"
"((0, 2, 1), (1, 1, 1))","[(5, 5, 15, 0)]"
"((0, 2, 2), (1, 1, 1))","[(5, 5, 13, 0)]"
"((0, 2, 3), (1, 1, 1))","[(5, 4, 14, 0)]"
"((0, 2, '?'), (1, 1, 0))","[(5, 5, 14, 0)]"
"((0, 3, 1), (1, 1, 1))","[(5, 5, 12, 0)]"
"((0, 3, 2), (1, 1, 1))","[(5, 5, 4, 0)]"
"((0, 3, 3), (1, 1, 1))","[(5, 4, 5, 0)]"
"((0, 3, '?'), (1, 1, 0))","[(5, 5, 5, 0)]"
"((0, '?', 0), (1, 0, 1))","[(5, 12, 12, 0), (12, 5, 12, 0), (5, 12, 5, 0), (5, 5, 12, 0)]"
"((0, '?', 1), (1, 0, 1))","[(5, 3, 15, 0), (5, 3, 12, 0)]"
"((0, '?', 2), (1, 0, 1))","[(5, 13, 13, 0)]"
"((0, '?', 3), (1, 0, 1))","[(5, 4, 3, 0), (4, 3, 5, 0), (5, 4, 5, 0)]"
"((1, 0, 0), (1, 1, 1))","[(15, 1, 15, 0)]"
"((1, 0, 1), (1, 1, 1))","[(1, 15, 14, 0)]"
"((1, 0, 2), (1, 1, 1))","[(1, 2, 13, 0), (1, 13, 2, 0), (1, 13, 13, 0)]"
"((1, 0, 3), (1, 1, 1))","[(1, 14, 14, 0)]"
"((1, 0, '?'), (1, 1, 0))","[(1, 14, 14, 0)]"
"((1, 1, 0), (1, 1, 1))","[(15, 14, 15, 0)]"
"((1, 1, 1), (1, 1, 1))","[(14, 15, 1, 0)]"
"((1, 1, 2), (1, 1, 1))","[(2, 2, 2, 0), (2, 2, 13, 0)]"
"((1, 1, '?'), (1, 1, 0))","[(14, 1, 14, 0)]"
"((1, 2, 0), (1, 1, 1))","[(10, 15, 15, 0)]"
"((1, 2, 1), (1, 1, 1))","[(10, 14, 15, 0)]"
"((1, 2, 2), (1, 1, 1))","[(10, 13, 13, 0)]"
"((1, 2, 3), (1, 1, 1))","[(10, 4, 13, 0)]"
"((1, 3, 1), (1, 1, 1))","[(10, 12, 10, 0)]"
"((1, 3, 3), (1, 1, 1))","[(4, 10, 4, 0)]"
"((1, 3, '?'), (1, 1, 0))","[(10, 10, 10, 0)]"
"((1, '?', 0), (1, 0, 1))","[(15, 15, 15, 0), (15, 15, 10, 0)]"
